ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP607EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRMKbzZ,
WP607EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRUVjpe,
WP607EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRTST6O,
WP607EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_1,
WP607EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_2,
WP607EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRSnIQs,
WP607EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_3-1,
WP607EW0008,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_3-2,
WP607EW0009,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_3-3,
WP607EW0010,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_3-4,
WP607EW0011,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRS26BK,
WP607EW0012,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRRayxV,
WP607EW0013,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_4-1,
WP607EW0014,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_4-2,
WP607EW0015,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_4-3,
WP607EW0016,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_4-4,
WP607EW0017,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_5,
WP607EW0018,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_6,
WP607EW0019,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRQxofw,
WP607EW0020,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_7-1,
WP607EW0021,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_7-2,
WP607EW0022,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_7-3,
WP607EW0023,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_7-4,
WP607EW0024,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRQJe9z,
WP607EW0025,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRPsXDZ,
WP607EW0026,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_8-1,
WP607EW0027,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_8-2,
WP607EW0028,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRPEMnv,
WP607EW0029,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_9-1,
WP607EW0030,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_9-2,
WP607EW0031,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URROaCa8,
WP607EW0032,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_10,
WP607EW0033,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URROD6af,
WP607EW0034,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_11-1,
WP607EW0035,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_11-2,
WP607EW0036,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRNexMs,
WP607EW0037,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-1,
WP607EW0038,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-2,
WP607EW0039,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-3,
WP607EW0040,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-4,
WP607EW0041,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-5,
WP607EW0042,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-6,
WP607EW0043,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_12-7,
WP607EW0044,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_URRMtlAb,
WP607EW0045,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_13-1,
WP607EW0046,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_13-2,
WP607EW0047,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_13-3,
WP607EW0048,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_13-4,
WP607EW0049,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_13-5,
WP607EW0050,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_NSSEC@5f@T050A|C_NSSEC_15,
