ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7701EW0001,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), Pob categori: Pellter teithio i'r gwaith"
WP7701EW0002,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), Llai na 2km"
WP7701EW0003,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 2km i lai na 5km"
WP7701EW0004,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 5km i lai na 10km"
WP7701EW0005,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 10km i lai nag 20km"
WP7701EW0006,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 20km i lai na 30km"
WP7701EW0007,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 30km i lai na 40km"
WP7701EW0008,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 40km i lai na 60km"
WP7701EW0009,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 60km a throsodd"
WP7701EW0010,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), Gweithio’n bennaf gartref neu o’r cartref"
WP7701EW0011,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), Dim gweithle penodol"
WP7701EW0012,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, Pob categori: Pellter teithio i'r gwaith"
WP7701EW0013,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, Llai na 2km"
WP7701EW0014,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 2km i lai na 5km"
WP7701EW0015,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 5km i lai na 10km"
WP7701EW0016,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 10km i lai nag 20km"
WP7701EW0017,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 20km i lai na 30km"
WP7701EW0018,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 30km i lai na 40km"
WP7701EW0019,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 40km i lai na 60km"
WP7701EW0020,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 60km a throsodd"
WP7701EW0021,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, Gweithio’n bennaf gartref neu o’r cartref"
WP7701EW0022,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, Dim gweithle penodol"
WP7701EW0023,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, Pob categori: Pellter teithio i'r gwaith"
WP7701EW0024,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, Llai na 2km"
WP7701EW0025,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 2km i lai na 5km"
WP7701EW0026,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 5km i lai na 10km"
WP7701EW0027,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 10km i lai nag 20km"
WP7701EW0028,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 20km i lai na 30km"
WP7701EW0029,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 30km i lai na 40km"
WP7701EW0030,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 40km i lai na 60km"
WP7701EW0031,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 60km a throsodd"
WP7701EW0032,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, Gweithio’n bennaf gartref neu o’r cartref"
WP7701EW0033,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, Dim gweithle penodol"
WP7701EW0034,Count,Person,"Gyrru car neu fan, Pob categori: Pellter teithio i'r gwaith"
WP7701EW0035,Count,Person,"Gyrru car neu fan, Llai na 2km"
WP7701EW0036,Count,Person,"Gyrru car neu fan, 2km i lai na 5km"
