ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7701EW0001,Count,Person,"All categories: Method of travel to work (2001 specification), All categories: Distance travelled to work"
WP7701EW0002,Count,Person,"All categories: Method of travel to work (2001 specification), Less than 2km"
WP7701EW0003,Count,Person,"All categories: Method of travel to work (2001 specification), 2km to less than 5km"
WP7701EW0004,Count,Person,"All categories: Method of travel to work (2001 specification), 5km to less than 10km"
WP7701EW0005,Count,Person,"All categories: Method of travel to work (2001 specification), 10km to less than 20km"
WP7701EW0006,Count,Person,"All categories: Method of travel to work (2001 specification), 20km to less than 30km"
WP7701EW0007,Count,Person,"All categories: Method of travel to work (2001 specification), 30km to less than 40km"
WP7701EW0008,Count,Person,"All categories: Method of travel to work (2001 specification), 40km to less than 60km"
WP7701EW0009,Count,Person,"All categories: Method of travel to work (2001 specification), 60km and over"
WP7701EW0010,Count,Person,"All categories: Method of travel to work (2001 specification), Work mainly at or from home"
WP7701EW0011,Count,Person,"All categories: Method of travel to work (2001 specification), No fixed place"
WP7701EW0012,Count,Person,"Work mainly at or from home, All categories: Distance travelled to work"
WP7701EW0013,Count,Person,"Work mainly at or from home, Less than 2km"
WP7701EW0014,Count,Person,"Work mainly at or from home, 2km to less than 5km"
WP7701EW0015,Count,Person,"Work mainly at or from home, 5km to less than 10km"
WP7701EW0016,Count,Person,"Work mainly at or from home, 10km to less than 20km"
WP7701EW0017,Count,Person,"Work mainly at or from home, 20km to less than 30km"
WP7701EW0018,Count,Person,"Work mainly at or from home, 30km to less than 40km"
WP7701EW0019,Count,Person,"Work mainly at or from home, 40km to less than 60km"
WP7701EW0020,Count,Person,"Work mainly at or from home, 60km and over"
WP7701EW0021,Count,Person,"Work mainly at or from home, Work mainly at or from home"
WP7701EW0022,Count,Person,"Work mainly at or from home, No fixed place"
WP7701EW0023,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, All categories: Distance travelled to work"
WP7701EW0024,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, Less than 2km"
WP7701EW0025,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 2km to less than 5km"
WP7701EW0026,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 5km to less than 10km"
WP7701EW0027,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 10km to less than 20km"
WP7701EW0028,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 20km to less than 30km"
WP7701EW0029,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 30km to less than 40km"
WP7701EW0030,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 40km to less than 60km"
WP7701EW0031,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, 60km and over"
WP7701EW0032,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, Work mainly at or from home"
WP7701EW0033,Count,Person,"Train, underground, metro, light rail, tram, bus, minibus or coach, No fixed place"
WP7701EW0034,Count,Person,"Driving a car or van, All categories: Distance travelled to work"
WP7701EW0035,Count,Person,"Driving a car or van, Less than 2km"
WP7701EW0036,Count,Person,"Driving a car or van, 2km to less than 5km"
WP7701EW0037,Count,Person,"Driving a car or van, 5km to less than 10km"
WP7701EW0038,Count,Person,"Driving a car or van, 10km to less than 20km"
WP7701EW0039,Count,Person,"Driving a car or van, 20km to less than 30km"
WP7701EW0040,Count,Person,"Driving a car or van, 30km to less than 40km"
