ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP604EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_Qse2i9u0,
WP604EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_QsdzjNbk,
WP604EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_1,
WP604EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_2,
WP604EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_Qse0JWzs,
WP604EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_3,
WP604EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_HOURS@5f@T007A|C_HOURS_4,
