ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP203EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTFrU3k,
WP203EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzT7GFHw,
WP203EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzT92hwY,
WP203EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_921,
WP203EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_922,
WP203EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_923,
WP203EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_924,
WP203EW0008,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_925,
WP203EW0009,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_926,
WP203EW0010,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_831,
WP203EW0011,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_832,
WP203EW0012,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_931,
WP203EW0013,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_833,
WP203EW0014,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAIJWnr,
WP203EW0015,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTAZ6Wu,
WP203EW0016,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTCHYEH,
WP203EW0017,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTEF3uN,
WP203EW0018,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_250,
WP203EW0019,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_276,
WP203EW0020,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_380,
WP203EW0021,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_620,
WP203EW0022,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAaICvl,
WP203EW0023,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAaeIZD,
WP203EW0024,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTF1GSw,
WP203EW0025,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_440,
WP203EW0026,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_616,
WP203EW0027,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_642,
WP203EW0028,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAc6g3R,
WP203EW0029,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzTDEnTR,
WP203EW0030,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_792,
WP203EW0031,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAcprnr,
WP203EW0032,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAsXxDO,
WP203EW0033,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzAorzqw,
WP203EW0034,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzBow9F3,
WP203EW0035,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_288,
WP203EW0036,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_566,
WP203EW0037,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzApvH3w,
WP203EW0038,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzBqMW8d,
WP203EW0039,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_404,
WP203EW0040,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_706,
WP203EW0041,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_710,
WP203EW0042,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_716,
WP203EW0043,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzArUgH1,
WP203EW0044,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_982,
WP203EW0045,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzBD3ID8,
WP203EW0046,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzCKuSsv,
WP203EW0047,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_364,
WP203EW0048,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzB6FWP3,
WP203EW0049,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzCMtyqo,
WP203EW0050,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_156,
WP203EW0051,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_344,
WP203EW0052,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzB73jKm,
WP203EW0053,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzCOLMBq,
WP203EW0054,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_050,
WP203EW0055,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_356,
WP203EW0056,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_586,
WP203EW0057,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_144,
WP203EW0058,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzB8f9Gl,
WP203EW0059,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzCQlzBn,
WP203EW0060,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_608,
WP203EW0061,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzB9LKEI,
WP203EW0062,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzB9cOZ8,
WP203EW0063,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRoYIF4,
WP203EW0064,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzS3WBmG,
WP203EW0065,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_840,
WP203EW0066,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRi3bHE,
WP203EW0067,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRcaBGa,
WP203EW0068,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRcsFpW,
WP203EW0069,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzS4PQ09,
WP203EW0070,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_388,
WP203EW0071,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRnz96o,
WP203EW0072,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRtFVsV,
WP203EW0073,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRpqd4r,
WP203EW0074,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzS5He1B,
WP203EW0075,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_036,
WP203EW0076,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRrFzaE,
WP203EW0077,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRsfMYs,
WP203EW0078,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_COB@5f@T078A|C_COB_RzRuImmU,
