ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP203EW0001,Count,Person,Pob categori: Gwlad enedigol
WP203EW0002,Count,Person,Ewrop: Cyfanswm
WP203EW0003,Count,Person,Ewrop: Y Deyrnas Unedig: Cyfanswm
WP203EW0004,Count,Person,Ewrop: Y Deyrnas Unedig: Lloegr
WP203EW0005,Count,Person,Ewrop: Y Deyrnas Unedig: Gogledd Iwerddon
WP203EW0006,Count,Person,Ewrop: Y Deyrnas Unedig: Yr Alban
WP203EW0007,Count,Person,Ewrop: Y Deyrnas Unedig: Cymru
WP203EW0008,Count,Person,Ewrop: Prydain Fawr heb ei nodi fel arall
WP203EW0009,Count,Person,Ewrop: Y Deyrnas Unedig heb ei nodi fel arall
WP203EW0010,Count,Person,Ewrop: Guernsey
WP203EW0011,Count,Person,Ewrop: Jersey
WP203EW0012,Count,Person,Ewrop: Ynysoedd y Sianel heb ei nodi fel arall
WP203EW0013,Count,Person,Ewrop: Ynys Manaw
WP203EW0014,Count,Person,Ewrop: Iwerddon
WP203EW0015,Count,Person,Ewrop: Ewrop Arall: Cyfanswm
WP203EW0016,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Cyfanswm
WP203EW0017,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Cyfanswm
WP203EW0018,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Ffrainc
WP203EW0019,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Yr Almaen
WP203EW0020,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Yr Eidal
WP203EW0021,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001:: Portiwgal
WP203EW0022,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Sbaen (gan gynnwys yr Ynysoedd Dedwydd)
WP203EW0023,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Aelod-wladwriaethau ym mis Mawrth 2001: Aelod-wladwriaethau eraill ym mis Mawrth 2001
WP203EW0024,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Gwledydd sydd wedi'u derbyn rhwng mis Ebrill 2001 a mis Mawrth 2011: Cyfanswm
WP203EW0025,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Gwledydd sydd wedi'u derbyn rhwng mis Ebrill 2001 a mis Mawrth 2011: Lithwania
WP203EW0026,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Gwledydd sydd wedi'u derbyn rhwng mis Ebrill 2001 a mis Mawrth 2011: Gwlad Pwyl
WP203EW0027,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Gwledydd sydd wedi'u derbyn rhwng mis Ebrill 2001 a mis Mawrth 2011: Rwmania
WP203EW0028,Count,Person,Ewrop: Ewrop Arall: Gwledydd yr UE: Gwledydd sydd wedi'u derbyn rhwng mis Ebrill 2001 a mis Mawrth 2011: Gwledydd eraill sydd wedi'u derbyn yn yr UE
WP203EW0029,Count,Person,Ewrop: Ewrop Arall: Gweddill Ewrop: Cyfanswm
WP203EW0030,Count,Person,Ewrop: Ewrop Arall: Gweddill Ewrop: Twrci
WP203EW0031,Count,Person,Ewrop: Ewrop Arall: Gweddill Ewrop: Ewrop Arall
WP203EW0032,Count,Person,Affrica: Cyfanswm
WP203EW0033,Count,Person,Affrica: Gogledd Affrica
WP203EW0034,Count,Person,Affrica: Canol a Gorllewin Affrica: Cyfanswm
