ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP605EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_RPwkYkse,
WP605EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_01,
WP605EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_02,
WP605EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_RPwu2DgK,
WP605EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_03,
WP605EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_04,
WP605EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_05,
WP605EW0008,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_06,
WP605EW0009,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_07,
WP605EW0010,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_08,
WP605EW0011,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_09,
WP605EW0012,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_10,
WP605EW0013,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_11,
WP605EW0014,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_12,
WP605EW0015,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_13,
WP605EW0016,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_14,
WP605EW0017,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_15,
WP605EW0018,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_16,
WP605EW0019,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_17,
WP605EW0020,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_18,
WP605EW0021,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_19,
WP605EW0022,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_20,
WP605EW0023,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_21,
WP605EW0024,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_22,
WP605EW0025,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_23,
WP605EW0026,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_RPwtH1RX,
WP605EW0027,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_26,
WP605EW0028,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_INDGEPUK11@5f@T028A|C_INDGEPUK11_27,
