ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP201EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_TAfkT1ca,
WP201EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_01,
WP201EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_02,
WP201EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_03,
WP201EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_04,
WP201EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_05,
WP201EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_06,
WP201EW0008,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_07,
WP201EW0009,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_08,
WP201EW0010,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_09,
WP201EW0011,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_10,
WP201EW0012,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_11,
WP201EW0013,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_12,
WP201EW0014,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_13,
WP201EW0015,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_14,
WP201EW0016,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_15,
WP201EW0017,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_16,
WP201EW0018,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_17,
WP201EW0019,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_ETHPUK11@5f@T019A|C_ETHPUK11_18,
