ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP201EW0001,Count,Person,All categories: Ethnic group
WP201EW0002,Count,Person,White: English/Welsh/Scottish/Northern Irish/British
WP201EW0003,Count,Person,White: Irish
WP201EW0004,Count,Person,White: Gypsy or Irish Traveller
WP201EW0005,Count,Person,White: Other White
WP201EW0006,Count,Person,Mixed/multiple ethnic group: White and Black Caribbean
WP201EW0007,Count,Person,Mixed/multiple ethnic group: White and Black African
WP201EW0008,Count,Person,Mixed/multiple ethnic group: White and Asian
WP201EW0009,Count,Person,Mixed/multiple ethnic group: Other Mixed
WP201EW0010,Count,Person,Asian/Asian British: Indian
WP201EW0011,Count,Person,Asian/Asian British: Pakistani
WP201EW0012,Count,Person,Asian/Asian British: Bangladeshi
WP201EW0013,Count,Person,Asian/Asian British: Chinese
WP201EW0014,Count,Person,Asian/Asian British: Other Asian
WP201EW0015,Count,Person,Black/African/Caribbean/Black British: African
WP201EW0016,Count,Person,Black/African/Caribbean/Black British: Caribbean
WP201EW0017,Count,Person,Black/African/Caribbean/Black British: Other Black
WP201EW0018,Count,Person,Other ethnic group: Arab
WP201EW0019,Count,Person,Other ethnic group: Any other ethnic group
