ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP6112EW0001,Count,Person,"All categories: Occupation, All categories: Age 16 to 74"
WP6112EW0002,Count,Person,"All categories: Occupation, Age 16 to 19"
WP6112EW0003,Count,Person,"All categories: Occupation, Age 20 to 24"
WP6112EW0004,Count,Person,"All categories: Occupation, Age 25 to 29"
WP6112EW0005,Count,Person,"All categories: Occupation, Age 30 to 34"
WP6112EW0006,Count,Person,"All categories: Occupation, Age 35 to 39"
WP6112EW0007,Count,Person,"All categories: Occupation, Age 40 to 44"
WP6112EW0008,Count,Person,"All categories: Occupation, Age 45 to 49"
WP6112EW0009,Count,Person,"All categories: Occupation, Age 50 to 54"
WP6112EW0010,Count,Person,"All categories: Occupation, Age 55 to 59"
WP6112EW0011,Count,Person,"All categories: Occupation, Age 60 to 64"
WP6112EW0012,Count,Person,"All categories: Occupation, Age 65 to 74"
WP6112EW0013,Count,Person,"1. Managers, directors and senior officials, All categories: Age 16 to 74"
WP6112EW0014,Count,Person,"1. Managers, directors and senior officials, Age 16 to 19"
WP6112EW0015,Count,Person,"1. Managers, directors and senior officials, Age 20 to 24"
WP6112EW0016,Count,Person,"1. Managers, directors and senior officials, Age 25 to 29"
WP6112EW0017,Count,Person,"1. Managers, directors and senior officials, Age 30 to 34"
WP6112EW0018,Count,Person,"1. Managers, directors and senior officials, Age 35 to 39"
WP6112EW0019,Count,Person,"1. Managers, directors and senior officials, Age 40 to 44"
WP6112EW0020,Count,Person,"1. Managers, directors and senior officials, Age 45 to 49"
WP6112EW0021,Count,Person,"1. Managers, directors and senior officials, Age 50 to 54"
WP6112EW0022,Count,Person,"1. Managers, directors and senior officials, Age 55 to 59"
WP6112EW0023,Count,Person,"1. Managers, directors and senior officials, Age 60 to 64"
WP6112EW0024,Count,Person,"1. Managers, directors and senior officials, Age 65 to 74"
WP6112EW0025,Count,Person,"2. Professional occupations, All categories: Age 16 to 74"
WP6112EW0026,Count,Person,"2. Professional occupations, Age 16 to 19"
WP6112EW0027,Count,Person,"2. Professional occupations, Age 20 to 24"
WP6112EW0028,Count,Person,"2. Professional occupations, Age 25 to 29"
WP6112EW0029,Count,Person,"2. Professional occupations, Age 30 to 34"
WP6112EW0030,Count,Person,"2. Professional occupations, Age 35 to 39"
WP6112EW0031,Count,Person,"2. Professional occupations, Age 40 to 44"
WP6112EW0032,Count,Person,"2. Professional occupations, Age 45 to 49"
WP6112EW0033,Count,Person,"2. Professional occupations, Age 50 to 54"
WP6112EW0034,Count,Person,"2. Professional occupations, Age 55 to 59"
WP6112EW0035,Count,Person,"2. Professional occupations, Age 60 to 64"
WP6112EW0036,Count,Person,"2. Professional occupations, Age 65 to 74"
WP6112EW0037,Count,Person,"3. Associate professional and technical occupations, All categories: Age 16 to 74"
WP6112EW0038,Count,Person,"3. Associate professional and technical occupations, Age 16 to 19"
WP6112EW0039,Count,Person,"3. Associate professional and technical occupations, Age 20 to 24"
WP6112EW0040,Count,Person,"3. Associate professional and technical occupations, Age 25 to 29"
WP6112EW0041,Count,Person,"3. Associate professional and technical occupations, Age 30 to 34"
WP6112EW0042,Count,Person,"3. Associate professional and technical occupations, Age 35 to 39"
WP6112EW0043,Count,Person,"3. Associate professional and technical occupations, Age 40 to 44"
WP6112EW0044,Count,Person,"3. Associate professional and technical occupations, Age 45 to 49"
WP6112EW0045,Count,Person,"3. Associate professional and technical occupations, Age 50 to 54"
WP6112EW0046,Count,Person,"3. Associate professional and technical occupations, Age 55 to 59"
WP6112EW0047,Count,Person,"3. Associate professional and technical occupations, Age 60 to 64"
WP6112EW0048,Count,Person,"3. Associate professional and technical occupations, Age 65 to 74"
WP6112EW0049,Count,Person,"4. Administrative and secretarial occupations, All categories: Age 16 to 74"
WP6112EW0050,Count,Person,"4. Administrative and secretarial occupations, Age 16 to 19"
WP6112EW0051,Count,Person,"4. Administrative and secretarial occupations, Age 20 to 24"
WP6112EW0052,Count,Person,"4. Administrative and secretarial occupations, Age 25 to 29"
WP6112EW0053,Count,Person,"4. Administrative and secretarial occupations, Age 30 to 34"
WP6112EW0054,Count,Person,"4. Administrative and secretarial occupations, Age 35 to 39"
WP6112EW0055,Count,Person,"4. Administrative and secretarial occupations, Age 40 to 44"
WP6112EW0056,Count,Person,"4. Administrative and secretarial occupations, Age 45 to 49"
