ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7607EW0001,Count,Person,"All categories: Distance travelled to work, All categories: Occupation"
WP7607EW0002,Count,Person,"All categories: Distance travelled to work, 1. Managers, directors and senior officials"
WP7607EW0003,Count,Person,"All categories: Distance travelled to work, 2. Professional occupations"
WP7607EW0004,Count,Person,"All categories: Distance travelled to work, 3. Associate professional and technical occupations"
WP7607EW0005,Count,Person,"All categories: Distance travelled to work, 4. Administrative and secretarial occupations"
WP7607EW0006,Count,Person,"All categories: Distance travelled to work, 5. Skilled trades occupations"
WP7607EW0007,Count,Person,"All categories: Distance travelled to work, 6. Caring, leisure and other service occupations"
WP7607EW0008,Count,Person,"All categories: Distance travelled to work, 7. Sales and customer service occupations"
WP7607EW0009,Count,Person,"All categories: Distance travelled to work, 8. Process, plant and machine operatives"
WP7607EW0010,Count,Person,"All categories: Distance travelled to work, 9. Elementary occupations"
WP7607EW0011,Count,Person,"Less than 5km, All categories: Occupation"
WP7607EW0012,Count,Person,"Less than 5km, 1. Managers, directors and senior officials"
WP7607EW0013,Count,Person,"Less than 5km, 2. Professional occupations"
WP7607EW0014,Count,Person,"Less than 5km, 3. Associate professional and technical occupations"
WP7607EW0015,Count,Person,"Less than 5km, 4. Administrative and secretarial occupations"
WP7607EW0016,Count,Person,"Less than 5km, 5. Skilled trades occupations"
WP7607EW0017,Count,Person,"Less than 5km, 6. Caring, leisure and other service occupations"
WP7607EW0018,Count,Person,"Less than 5km, 7. Sales and customer service occupations"
WP7607EW0019,Count,Person,"Less than 5km, 8. Process, plant and machine operatives"
WP7607EW0020,Count,Person,"Less than 5km, 9. Elementary occupations"
WP7607EW0021,Count,Person,"5km to less than 10km, All categories: Occupation"
WP7607EW0022,Count,Person,"5km to less than 10km, 1. Managers, directors and senior officials"
WP7607EW0023,Count,Person,"5km to less than 10km, 2. Professional occupations"
WP7607EW0024,Count,Person,"5km to less than 10km, 3. Associate professional and technical occupations"
WP7607EW0025,Count,Person,"5km to less than 10km, 4. Administrative and secretarial occupations"
WP7607EW0026,Count,Person,"5km to less than 10km, 5. Skilled trades occupations"
WP7607EW0027,Count,Person,"5km to less than 10km, 6. Caring, leisure and other service occupations"
WP7607EW0028,Count,Person,"5km to less than 10km, 7. Sales and customer service occupations"
WP7607EW0029,Count,Person,"5km to less than 10km, 8. Process, plant and machine operatives"
WP7607EW0030,Count,Person,"5km to less than 10km, 9. Elementary occupations"
WP7607EW0031,Count,Person,"10km to less than 30km, All categories: Occupation"
WP7607EW0032,Count,Person,"10km to less than 30km, 1. Managers, directors and senior officials"
WP7607EW0033,Count,Person,"10km to less than 30km, 2. Professional occupations"
WP7607EW0034,Count,Person,"10km to less than 30km, 3. Associate professional and technical occupations"
WP7607EW0035,Count,Person,"10km to less than 30km, 4. Administrative and secretarial occupations"
