ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7101EW0001,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), Pob categori: 16 i 74 oed"
WP7101EW0002,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 16 i 19 oed"
WP7101EW0003,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 20 i 24 oed"
WP7101EW0004,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 25 i 29 oed"
WP7101EW0005,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 30 i 34 oed"
WP7101EW0006,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 35 i 39 oed"
WP7101EW0007,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 40 i 44 oed"
WP7101EW0008,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 45 i 49 oed"
WP7101EW0009,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 50 i 54 oed"
WP7101EW0010,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 55 i 59 oed"
WP7101EW0011,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 60 i 64 oed"
WP7101EW0012,Count,Person,"Pob categori: Y dull o deithio i’r gwaith (manyleb 2001), 65 i 74 oed"
WP7101EW0013,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, Pob categori: 16 i 74 oed"
WP7101EW0014,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 16 i 19 oed"
WP7101EW0015,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 20 i 24 oed"
WP7101EW0016,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 25 i 29 oed"
WP7101EW0017,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 30 i 34 oed"
WP7101EW0018,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 35 i 39 oed"
WP7101EW0019,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 40 i 44 oed"
WP7101EW0020,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 45 i 49 oed"
WP7101EW0021,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 50 i 54 oed"
WP7101EW0022,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 55 i 59 oed"
WP7101EW0023,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 60 i 64 oed"
WP7101EW0024,Count,Person,"Gweithio’n bennaf gartref neu o’r cartref, 65 i 74 oed"
WP7101EW0025,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, Pob categori: 16 i 74 oed"
WP7101EW0026,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 16 i 19 oed"
WP7101EW0027,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 20 i 24 oed"
WP7101EW0028,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 25 i 29 oed"
WP7101EW0029,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 30 i 34 oed"
WP7101EW0030,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 35 i 39 oed"
WP7101EW0031,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 40 i 44 oed"
WP7101EW0032,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 45 i 49 oed"
WP7101EW0033,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 50 i 54 oed"
WP7101EW0034,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 55 i 59 oed"
WP7101EW0035,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 60 i 64 oed"
WP7101EW0036,Count,Person,"Trên, trên tanddaearol, metro, rheilffordd ysgafn, tram, bws neu fwsmini, 65 i 74 oed"
WP7101EW0037,Count,Person,"Gyrru car neu fan, Pob categori: 16 i 74 oed"
WP7101EW0038,Count,Person,"Gyrru car neu fan, 16 i 19 oed"
WP7101EW0039,Count,Person,"Gyrru car neu fan, 20 i 24 oed"
WP7101EW0040,Count,Person,"Gyrru car neu fan, 25 i 29 oed"
WP7101EW0041,Count,Person,"Gyrru car neu fan, 30 i 34 oed"
WP7101EW0042,Count,Person,"Gyrru car neu fan, 35 i 39 oed"
WP7101EW0043,Count,Person,"Gyrru car neu fan, 40 i 44 oed"
WP7101EW0044,Count,Person,"Gyrru car neu fan, 45 i 49 oed"
WP7101EW0045,Count,Person,"Gyrru car neu fan, 50 i 54 oed"
WP7101EW0046,Count,Person,"Gyrru car neu fan, 55 i 59 oed"
WP7101EW0047,Count,Person,"Gyrru car neu fan, 60 i 64 oed"
WP7101EW0048,Count,Person,"Gyrru car neu fan, 65 i 74 oed"
