GeographyCode,WP102EW0001,WP102EW0002,WP102EW0003
E07000100,61531,16117.56,3.817637409
E07000101,44839,2596.34,17.27008019
E07000102,35393,8881.33,3.985101331
E07000103,51469,2142.49,24.0229826
E07000104,68426,12955.38,5.281666767
E07000105,54618,58061.77,0.940687823
E07000106,66713,30885.16,2.160034139
E07000107,54972,7276.8,7.554419525
E07000108,43282,31484.99,1.374686795
E07000109,32015,9901.82,3.233243989
E07000110,76795,39333.22,1.95242088
E07000111,46402,36922.06,1.256755446
E07000112,44250,35670.33,1.240526791
E07000113,52439,37341.47,1.404310007
E07000114,47538,10333.55,4.600355154
E07000115,60126,24013.57,2.50383429
E07000116,54985,33132.85,1.659531251
E07000117,37472,11069.98,3.385010632
E07000118,41674,20279.67,2.054964405
E07000119,42934,16568.87,2.591244907
E07000120,31172,7299.35,4.270517238
E07000121,58893,57585.52,1.022705013
E07000122,34602,16936.33,2.043063639
E07000123,87088,14229.35,6.120307674
E07000124,29815,58318.29,0.511246129
E07000125,24266,13804.84,1.757789297
E07000126,49069,11295.57,4.344092419
E07000127,49510,34678.92,1.427668451
E07000128,37730,28255.37,1.335321392
E07000129,51967,13046.67,3.983161987
E07000130,67856,27905.78,2.431610942
E07000131,42180,59180.99,0.712728868
E07000132,42514,29734.97,1.429764348
E07000133,22107,48137.69,0.459245136
E07000134,53711,27932.84,1.922862122
E07000135,21125,2352.31,8.980534028
E07000136,31094,36153.77,0.86004862
E07000137,51693,176025.54,0.293667612
E07000138,55050,3568.89,15.42496406
E07000139,45839,92244.28,0.496930541
E07000140,38861,74238.39,0.523462322
E07000141,57223,94259.48,0.607079521
E07000142,31075,115571.83,0.268880401
E07000143,50487,130511.65,0.386839029
E07000144,47264,55239.67,0.855616987
E07000145,39960,17418.83,2.294069119
E07000146,63513,142879.34,0.44452193
E07000147,39632,96335.41,0.411395976
E07000148,89224,3902.54,22.86305842
E07000149,54367,90770.68,0.598948912
E07000150,30883,8028.31,3.84676227
E07000151,38650,66262.14,0.583289341
E07000152,31128,50978.84,0.610606283
E07000153,42290,23349.28,1.811190752
E07000154,118778,8076.25,14.70707321
E07000155,34323,63401.87,0.541356272
E07000156,34351,16303.94,2.106914034
E07000163,27277,117738.77,0.2316739
E07000164,48641,131116.93,0.370974214
E07000165,82129,130794.61,0.627923429
E07000166,27802,131867.14,0.210833419
E07000167,25988,150659.4,0.172495045
E07000168,46119,81654.14,0.564809084
E07000169,35476,59931.2,0.591945431
E07000170,53093,10955.74,4.84613545
E07000171,51829,63787.06,0.81253157
E07000172,38833,8009.92,4.848113339
E07000173,36897,11997.64,3.07535482
E07000174,40987,7671.76,5.342581103
E07000175,50938,65131.89,0.782074649
E07000176,45942,40923.65,1.122627136
E07000177,71803,58876.89,1.219544714
E07000178,99423,4559.54,21.80548915
E07000179,61683,67853.45,0.909062104
E07000180,62253,57761.6,1.077757541
E07000181,48222,71439.96,0.675000378
E07000187,49267,73943.54,0.666278623
E07000188,46639,56436.21,0.826402056
E07000189,77724,95904.32,0.810432731
E07000190,59898,46236.35,1.295474232
E07000191,14929,72534.9,0.205818165
E07000192,38814,7888.12,4.920564089
E07000193,59222,38697.41,1.530386659
E07000194,44755,33129.67,1.350903888
E07000195,49280,21095.73,2.336017763
E07000196,36453,40731.53,0.894957788
E07000197,67178,59817.22,1.123054532
E07000198,34851,57584.74,0.605212423
E07000199,30315,3084.61,9.827822642
E07000200,35722,59381.66,0.601566207
E07000201,32904,37771.1,0.871142222
E07000202,71601,3941.42,18.1662954
E07000203,41665,87107.09,0.478319273
E07000204,58400,65696.5,0.888936245
E07000205,54351,89156.47,0.609613638
E07000206,44953,36968.22,1.215990383
E07000207,56375,9506.08,5.930415061
E07000208,30223,3407.26,8.87017721
E07000209,77684,27093.15,2.867293024
E07000210,46437,25832.19,1.79764085
E07000211,67831,12913.31,5.252797308
E07000212,49802,7804.34,6.381321162
E07000213,41012,4488.27,9.137596446
E07000214,43918,9509.39,4.618382462
E07000215,33114,24819.05,1.334217063
E07000216,52153,34516.88,1.510941893
E07000217,44230,6359.58,6.954861799
E07000218,39558,28426.67,1.391580512
E07000219,45300,7895.18,5.737677925
E07000220,47452,35111.91,1.351450263
E07000221,63398,97786.61,0.648330073
E07000222,77726,28288.39,2.747628974
E07000223,22179,4180.79,5.304978246
E07000224,49092,22070.83,2.224293332
E07000225,61226,78623.01,0.778728772
E07000226,79370,4497.14,17.64899469
E07000227,56174,53027.12,1.059344728
E07000228,60745,33402.43,1.818580265
E07000229,49415,3248.3,15.21257273
E07000234,39055,21696.93,1.800024243
E07000235,31181,57707.1,0.540332126
E07000236,39031,5425.06,7.194574807
E07000237,53214,3327.83,15.99060048
E07000238,54092,66354.2,0.815200846
E07000239,37393,19540.57,1.913608457
E08000001,114946,13980.26,8.222021622
E08000002,73437,9948.41,7.381782617
E08000003,319745,11564.59,27.64862395
E08000004,89047,14236.5,6.254837917
E08000005,79184,15808.06,5.0090903
E08000006,113752,9718.97,11.70412091
E08000007,125903,12606.44,9.98719702
E08000008,79528,10317.15,7.708330304
E08000009,129951,10603.6,12.2553661
E08000010,117725,18819.29,6.255549492
E08000011,57202,8646.91,6.615311134
E08000012,235801,11184.47,21.08289441
E08000013,64928,13638.16,4.760759516
E08000014,102777,15313.67,6.711454537
E08000015,112249,15704.99,7.147346162
E08000016,82962,32905.18,2.521244376
E08000017,127557,56799.14,2.245755834
E08000018,107716,28653.8,3.759222163
E08000019,261340,36794.95,7.102605113
E08000020,91882,14234.68,6.454799124
E08000021,169652,11343.92,14.95532409
E08000022,84221,8239.13,10.22207442
E08000023,50317,6441.41,7.811488478
E08000024,126089,13746.04,9.172750843
E08000025,488095,26778.76,18.22694553
E08000026,148246,9864.6,15.02808021
E08000027,123197,9795.77,12.5765509
E08000028,125467,8556.66,14.66308116
E08000029,99967,17828.78,5.607057802
E08000030,105000,10395.39,10.10063115
E08000031,108004,6943.94,15.55370582
E08000032,213515,36641.73,5.827099321
E08000033,94704,36392.27,2.602310875
E08000034,166882,40859.64,4.084274849
E08000035,409815,55172.65,7.427865074
E08000036,151142,33861.19,4.463576147
E09000001,356706,289.8,1230.869565
E09000002,58444,3609.15,16.19328651
E09000003,129112,8673.66,14.88552699
E09000004,74670,6056.13,12.32965607
E09000005,115221,4323.52,26.64981312
E09000006,111405,15015.35,7.419407473
E09000007,272367,2179.62,124.960773
E09000008,120398,8651.95,13.91570686
E09000009,132461,5552.56,23.85584307
E09000010,105493,8082.97,13.05126705
