ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP102EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_URESINDPUK11@5f@AGE16TO74@5f@T001A|UDF@3a@URESINDPUK11_AGE16TO74@3a@@20@Usual@20@resident@20@@28@Indicator@29@@20@by@20@age@20@16@20@to@20@74_Usual@20@resident@20@aged@20@16@20@to@20@74,
WP102EW0002,sum,F_P_WZMAP_WZAREALHECT,F@5f@PERSON_URESINDPUK11@5f@AGE16TO74@5f@T001A|UDF@3a@URESINDPUK11_AGE16TO74@3a@@20@Usual@20@resident@20@@28@Indicator@29@@20@by@20@age@20@16@20@to@20@74_Usual@20@resident@20@aged@20@16@20@to@20@74,
WP102EW0003,ratio,__RESERVED__,popdensity|popdensity_CL_Density@20@@28@number@20@of@20@persons@20@per@20@hectare@29@,
