ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0031,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0032,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0033,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_025, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0034,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0035,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0036,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_026, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0037,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0038,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0039,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0040,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0041,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0042,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0043,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0044,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0045,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0046,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0047,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0048,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0049,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0050,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0051,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0052,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0053,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0054,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0055,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0056,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0057,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0058,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0059,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0060,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0061,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0062,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0063,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0064,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
