ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7102EW0001,Count,Person,"All categories: Distance travelled to work, All categories: Age 16 to 74"
WP7102EW0002,Count,Person,"All categories: Distance travelled to work, Age 16 to 19"
WP7102EW0003,Count,Person,"All categories: Distance travelled to work, Age 20 to 24"
WP7102EW0004,Count,Person,"All categories: Distance travelled to work, Age 25 to 29"
WP7102EW0005,Count,Person,"All categories: Distance travelled to work, Age 30 to 34"
WP7102EW0006,Count,Person,"All categories: Distance travelled to work, Age 35 to 39"
WP7102EW0007,Count,Person,"All categories: Distance travelled to work, Age 40 to 44"
WP7102EW0008,Count,Person,"All categories: Distance travelled to work, Age 45 to 49"
WP7102EW0009,Count,Person,"All categories: Distance travelled to work, Age 50 to 54"
WP7102EW0010,Count,Person,"All categories: Distance travelled to work, Age 55 to 59"
WP7102EW0011,Count,Person,"All categories: Distance travelled to work, Age 60 to 64"
WP7102EW0012,Count,Person,"All categories: Distance travelled to work, Age 65 to 74"
WP7102EW0013,Count,Person,"Less than 5km, All categories: Age 16 to 74"
WP7102EW0014,Count,Person,"Less than 5km, Age 16 to 19"
WP7102EW0015,Count,Person,"Less than 5km, Age 20 to 24"
WP7102EW0016,Count,Person,"Less than 5km, Age 25 to 29"
WP7102EW0017,Count,Person,"Less than 5km, Age 30 to 34"
WP7102EW0018,Count,Person,"Less than 5km, Age 35 to 39"
WP7102EW0019,Count,Person,"Less than 5km, Age 40 to 44"
WP7102EW0020,Count,Person,"Less than 5km, Age 45 to 49"
WP7102EW0021,Count,Person,"Less than 5km, Age 50 to 54"
WP7102EW0022,Count,Person,"Less than 5km, Age 55 to 59"
WP7102EW0023,Count,Person,"Less than 5km, Age 60 to 64"
WP7102EW0024,Count,Person,"Less than 5km, Age 65 to 74"
WP7102EW0025,Count,Person,"5km to less than 10km, All categories: Age 16 to 74"
WP7102EW0026,Count,Person,"5km to less than 10km, Age 16 to 19"
WP7102EW0027,Count,Person,"5km to less than 10km, Age 20 to 24"
WP7102EW0028,Count,Person,"5km to less than 10km, Age 25 to 29"
WP7102EW0029,Count,Person,"5km to less than 10km, Age 30 to 34"
WP7102EW0030,Count,Person,"5km to less than 10km, Age 35 to 39"
WP7102EW0031,Count,Person,"5km to less than 10km, Age 40 to 44"
WP7102EW0032,Count,Person,"5km to less than 10km, Age 45 to 49"
WP7102EW0033,Count,Person,"5km to less than 10km, Age 50 to 54"
WP7102EW0034,Count,Person,"5km to less than 10km, Age 55 to 59"
WP7102EW0035,Count,Person,"5km to less than 10km, Age 60 to 64"
WP7102EW0036,Count,Person,"5km to less than 10km, Age 65 to 74"
WP7102EW0037,Count,Person,"10km to less than 30km, All categories: Age 16 to 74"
WP7102EW0038,Count,Person,"10km to less than 30km, Age 16 to 19"
WP7102EW0039,Count,Person,"10km to less than 30km, Age 20 to 24"
WP7102EW0040,Count,Person,"10km to less than 30km, Age 25 to 29"
WP7102EW0041,Count,Person,"10km to less than 30km, Age 30 to 34"
WP7102EW0042,Count,Person,"10km to less than 30km, Age 35 to 39"
WP7102EW0043,Count,Person,"10km to less than 30km, Age 40 to 44"
WP7102EW0044,Count,Person,"10km to less than 30km, Age 45 to 49"
WP7102EW0045,Count,Person,"10km to less than 30km, Age 50 to 54"
WP7102EW0046,Count,Person,"10km to less than 30km, Age 55 to 59"
WP7102EW0047,Count,Person,"10km to less than 30km, Age 60 to 64"
WP7102EW0048,Count,Person,"10km to less than 30km, Age 65 to 74"
WP7102EW0049,Count,Person,"30km to less than 60km, All categories: Age 16 to 74"
WP7102EW0050,Count,Person,"30km to less than 60km, Age 16 to 19"
WP7102EW0051,Count,Person,"30km to less than 60km, Age 20 to 24"
WP7102EW0052,Count,Person,"30km to less than 60km, Age 25 to 29"
WP7102EW0053,Count,Person,"30km to less than 60km, Age 30 to 34"
WP7102EW0054,Count,Person,"30km to less than 60km, Age 35 to 39"
WP7102EW0055,Count,Person,"30km to less than 60km, Age 40 to 44"
WP7102EW0056,Count,Person,"30km to less than 60km, Age 45 to 49"
WP7102EW0057,Count,Person,"30km to less than 60km, Age 50 to 54"
WP7102EW0058,Count,Person,"30km to less than 60km, Age 55 to 59"
WP7102EW0059,Count,Person,"30km to less than 60km, Age 60 to 64"
WP7102EW0060,Count,Person,"30km to less than 60km, Age 65 to 74"
WP7102EW0061,Count,Person,"60km and over, All categories: Age 16 to 74"
WP7102EW0062,Count,Person,"60km and over, Age 16 to 19"
WP7102EW0063,Count,Person,"60km and over, Age 20 to 24"
WP7102EW0064,Count,Person,"60km and over, Age 25 to 29"
WP7102EW0065,Count,Person,"60km and over, Age 30 to 34"
WP7102EW0066,Count,Person,"60km and over, Age 35 to 39"
WP7102EW0067,Count,Person,"60km and over, Age 40 to 44"
WP7102EW0068,Count,Person,"60km and over, Age 45 to 49"
WP7102EW0069,Count,Person,"60km and over, Age 50 to 54"
WP7102EW0070,Count,Person,"60km and over, Age 55 to 59"
WP7102EW0071,Count,Person,"60km and over, Age 60 to 64"
WP7102EW0072,Count,Person,"60km and over, Age 65 to 74"
WP7102EW0073,Count,Person,"Work mainly at or from home, All categories: Age 16 to 74"
WP7102EW0074,Count,Person,"Work mainly at or from home, Age 16 to 19"
WP7102EW0075,Count,Person,"Work mainly at or from home, Age 20 to 24"
WP7102EW0076,Count,Person,"Work mainly at or from home, Age 25 to 29"
WP7102EW0077,Count,Person,"Work mainly at or from home, Age 30 to 34"
WP7102EW0078,Count,Person,"Work mainly at or from home, Age 35 to 39"
WP7102EW0079,Count,Person,"Work mainly at or from home, Age 40 to 44"
WP7102EW0080,Count,Person,"Work mainly at or from home, Age 45 to 49"
WP7102EW0081,Count,Person,"Work mainly at or from home, Age 50 to 54"
WP7102EW0082,Count,Person,"Work mainly at or from home, Age 55 to 59"
WP7102EW0083,Count,Person,"Work mainly at or from home, Age 60 to 64"
WP7102EW0084,Count,Person,"Work mainly at or from home, Age 65 to 74"
WP7102EW0085,Count,Person,"No fixed place, All categories: Age 16 to 74"
WP7102EW0086,Count,Person,"No fixed place, Age 16 to 19"
WP7102EW0087,Count,Person,"No fixed place, Age 20 to 24"
WP7102EW0088,Count,Person,"No fixed place, Age 25 to 29"
WP7102EW0089,Count,Person,"No fixed place, Age 30 to 34"
WP7102EW0090,Count,Person,"No fixed place, Age 35 to 39"
WP7102EW0091,Count,Person,"No fixed place, Age 40 to 44"
WP7102EW0092,Count,Person,"No fixed place, Age 45 to 49"
WP7102EW0093,Count,Person,"No fixed place, Age 50 to 54"
WP7102EW0094,Count,Person,"No fixed place, Age 55 to 59"
WP7102EW0095,Count,Person,"No fixed place, Age 60 to 64"
WP7102EW0096,Count,Person,"No fixed place, Age 65 to 74"
