ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP7102EW0001,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStwHSAd",
WP7102EW0002,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStu5sho",
WP7102EW0003,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStuIvzC",
WP7102EW0004,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStuQyCn",
WP7102EW0005,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStuZ0aT",
WP7102EW0006,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStuk3Mq",
WP7102EW0007,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStuu5w7",
WP7102EW0008,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStv38FG",
WP7102EW0009,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStvCAkl",
WP7102EW0010,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGGDTWPEW11@5f@POWPEW11@5f@T008A|UDF@3a@AGGDTWPEW11_POWPEW11@3a@@20@Distance@20@travelled@20@to@20@work@20@and@20@place@20@of@20@work@20@indicator_@23@@23@va@2e@rcd@2e@rpt@2e@AGGDTWPEW11@5f@POWPEW11@5f@T008A@2e@URMukwJA, F@5f@PERSON_AGE@5f@T012C|C_AGE_UStvMDEE",
