ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7102EW0001,Count,Person,"Pob categori: Pellter teithio i'r gwaith, Pob categori: 16 i 74 oed"
WP7102EW0002,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 16 i 19 oed"
WP7102EW0003,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 20 i 24 oed"
WP7102EW0004,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 25 i 29 oed"
WP7102EW0005,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 30 i 34 oed"
WP7102EW0006,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 35 i 39 oed"
WP7102EW0007,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 40 i 44 oed"
WP7102EW0008,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 45 i 49 oed"
WP7102EW0009,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 50 i 54 oed"
WP7102EW0010,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 55 i 59 oed"
WP7102EW0011,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 60 i 64 oed"
WP7102EW0012,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 65 i 74 oed"
WP7102EW0013,Count,Person,"Llai na 5km, Pob categori: 16 i 74 oed"
WP7102EW0014,Count,Person,"Llai na 5km, 16 i 19 oed"
WP7102EW0015,Count,Person,"Llai na 5km, 20 i 24 oed"
WP7102EW0016,Count,Person,"Llai na 5km, 25 i 29 oed"
WP7102EW0017,Count,Person,"Llai na 5km, 30 i 34 oed"
WP7102EW0018,Count,Person,"Llai na 5km, 35 i 39 oed"
WP7102EW0019,Count,Person,"Llai na 5km, 40 i 44 oed"
WP7102EW0020,Count,Person,"Llai na 5km, 45 i 49 oed"
WP7102EW0021,Count,Person,"Llai na 5km, 50 i 54 oed"
WP7102EW0022,Count,Person,"Llai na 5km, 55 i 59 oed"
WP7102EW0023,Count,Person,"Llai na 5km, 60 i 64 oed"
WP7102EW0024,Count,Person,"Llai na 5km, 65 i 74 oed"
WP7102EW0025,Count,Person,"5km i lai na 10km, Pob categori: 16 i 74 oed"
WP7102EW0026,Count,Person,"5km i lai na 10km, 16 i 19 oed"
WP7102EW0027,Count,Person,"5km i lai na 10km, 20 i 24 oed"
WP7102EW0028,Count,Person,"5km i lai na 10km, 25 i 29 oed"
WP7102EW0029,Count,Person,"5km i lai na 10km, 30 i 34 oed"
WP7102EW0030,Count,Person,"5km i lai na 10km, 35 i 39 oed"
WP7102EW0031,Count,Person,"5km i lai na 10km, 40 i 44 oed"
WP7102EW0032,Count,Person,"5km i lai na 10km, 45 i 49 oed"
WP7102EW0033,Count,Person,"5km i lai na 10km, 50 i 54 oed"
WP7102EW0034,Count,Person,"5km i lai na 10km, 55 i 59 oed"
WP7102EW0035,Count,Person,"5km i lai na 10km, 60 i 64 oed"
WP7102EW0036,Count,Person,"5km i lai na 10km, 65 i 74 oed"
WP7102EW0037,Count,Person,"10km i lai na 30km, Pob categori: 16 i 74 oed"
WP7102EW0038,Count,Person,"10km i lai na 30km, 16 i 19 oed"
WP7102EW0039,Count,Person,"10km i lai na 30km, 20 i 24 oed"
WP7102EW0040,Count,Person,"10km i lai na 30km, 25 i 29 oed"
WP7102EW0041,Count,Person,"10km i lai na 30km, 30 i 34 oed"
WP7102EW0042,Count,Person,"10km i lai na 30km, 35 i 39 oed"
WP7102EW0043,Count,Person,"10km i lai na 30km, 40 i 44 oed"
WP7102EW0044,Count,Person,"10km i lai na 30km, 45 i 49 oed"
WP7102EW0045,Count,Person,"10km i lai na 30km, 50 i 54 oed"
WP7102EW0046,Count,Person,"10km i lai na 30km, 55 i 59 oed"
WP7102EW0047,Count,Person,"10km i lai na 30km, 60 i 64 oed"
WP7102EW0048,Count,Person,"10km i lai na 30km, 65 i 74 oed"
WP7102EW0049,Count,Person,"30km i lai na 60km, Pob categori: 16 i 74 oed"
WP7102EW0050,Count,Person,"30km i lai na 60km, 16 i 19 oed"
WP7102EW0051,Count,Person,"30km i lai na 60km, 20 i 24 oed"
WP7102EW0052,Count,Person,"30km i lai na 60km, 25 i 29 oed"
WP7102EW0053,Count,Person,"30km i lai na 60km, 30 i 34 oed"
WP7102EW0054,Count,Person,"30km i lai na 60km, 35 i 39 oed"
WP7102EW0055,Count,Person,"30km i lai na 60km, 40 i 44 oed"
WP7102EW0056,Count,Person,"30km i lai na 60km, 45 i 49 oed"
WP7102EW0057,Count,Person,"30km i lai na 60km, 50 i 54 oed"
WP7102EW0058,Count,Person,"30km i lai na 60km, 55 i 59 oed"
WP7102EW0059,Count,Person,"30km i lai na 60km, 60 i 64 oed"
WP7102EW0060,Count,Person,"30km i lai na 60km, 65 i 74 oed"
WP7102EW0061,Count,Person,"60km a throsodd, Pob categori: 16 i 74 oed"
WP7102EW0062,Count,Person,"60km a throsodd, 16 i 19 oed"
